순위,곡명,아티스트,앨범
1,Celebrity,아이유,Celebrity
2,롤린 (Rollin'),브레이브걸스,Rollin'
3,밤하늘의 별을(2020),경서,밤하늘의 별을(2020)
4,Dynamite,방탄소년단,Dynamite (DayTime Version)
5,VVS (Feat. JUSTHIS) (Prod. GroovyRoom),미란이 (Mirani),쇼미더머니 9 Episode 1
6,잠이 오질 않네요,장범준,잠이 오질 않네요
7,밝게 빛나는 별이 되어 비춰줄게,송이한,밝게 빛나는 별이 되어 비춰줄게
8,Lovesick Girls,BLACKPINK,THE ALBUM
9,취기를 빌려 (취향저격 그녀 X 산들),산들,취기를 빌려 (취향저격 그녀 X 산들)
10,내 손을 잡아,아이유,최고의 사랑 OST Part.4
11,이 밤을 빌려 말해요 (바른연애 길잡이 X 10CM),10CM,이 밤을 빌려 말해요 (바른연애 길잡이 X 10CM)
12,에잇(Prod.&Feat. SUGA of BTS),아이유,에잇
13,나랑 같이 걸을래 (바른연애 길잡이 X 적재),적재,나랑 같이 걸을래 (바른연애 길잡이 X 적재)
14,Blueming,아이유,Love poem
15,힘든 건 사랑이 아니다,임창정,힘든 건 사랑이 아니다
16,오래된 노래,스탠딩 에그,오래된 노래
17,흔들리는 꽃들 속에서 네 샴푸향이 느껴진거야,장범준,멜로가 체질 OST Part 3
18,그날에 나는 맘이 편했을까,이예준,그날에 나는 맘이 편했을까
19,"어떻게 이별까지 사랑하겠어, 널 사랑하는 거지",AKMU (악동뮤지션),항해
20,고백 (바른연애 길잡이 X 허각),허각,고백 (바른연애 길잡이 X 허각)
21,I'm Not Cool,현아,I’m Not Cool
22,사실 나는 (Feat.전건호),경서예지,사실 나는
23,Savage Love (Laxed - Siren Beat) (BTS Remix),Jawsh 685,Savage Love (Laxed - Siren Beat) [BTS Remix]
24,Life Goes On,방탄소년단,BE
25,내 마음이 움찔했던 순간 (취향저격 그녀 X 규현),규현 (KYUHYUN),내 마음이 움찔했던 순간 (취향저격 그녀 X 규현)
26,"모든 날, 모든 순간 (Every day, Every Moment)",폴킴,'키스 먼저 할까요?' OST Part.3
27,METEOR,창모 (CHANGMO),Boyhood
28,좋은 이별이 있을 리가 없잖아 (Feat. 조현아 Of 어반자카파),MC몽,FLOWER 9
29,늦은 밤 너의 집 앞 골목길에서,노을,늦은 밤 너의 집 앞 골목길에서
30,어떻게 지내 (Prod. By VAN.C),오반 (OVAN),어떻게 지내
31,혼술하고 싶은 밤,벤,혼술하고 싶은 밤
32,"내일이 오면 (Feat. 기리보이, BIG Naughty (서동현))",릴보이 (lIlBOI),쇼미더머니 9 Episode 3
33,How You Like That,BLACKPINK,How You Like That
34,Dolphin,오마이걸 (OH MY GIRL),NONSTOP
35,2002,Anne-Marie,Speak Your Mind (Deluxe)
36,아로하,조정석,슬기로운 의사생활 OST Part 3
37,사랑하는 당신께,폴킴,사랑하는 당신께
38,오늘도 빛나는 너에게 (To You My Light) (Feat.이라온),마크툽 (MAKTUB),Red Moon : To You My Light
39,마음을 드려요,아이유,사랑의 불시착 OST Part 11
40,When We Disco (Duet with 선미),박진영,When We Disco
41,너의 번호를 누르고 (Prod. 영화처럼),#안녕,너의 번호를 누르고
42,작은 것들을 위한 시 (Boy With Luv) (Feat. Halsey),방탄소년단,MAP OF THE SOUL : PERSONA
43,꼬리 (TAIL),선미,꼬리 (TAIL)
44,서면역에서,순순희,서면역에서
45,Memories,Maroon 5,Memories
46,시작,가호 (Gaho),이태원 클라쓰 OST Part.2
47,술 한잔 해요,경서 (경서예지),술 한잔 해요
48,봄날,방탄소년단,YOU NEVER WALK ALONE
49,살짝 설렜어 (Nonstop),오마이걸 (OH MY GIRL),NONSTOP
50,Don't Call Me,SHINee (샤이니),Don't Call Me - The 7th Album
51,우리 왜 헤어져야 해,신예영,우리 왜 헤어져야 해
52,Love poem,아이유,Love poem
53,화(火花),(여자)아이들,I burn
54,너를 만나,폴킴,너를 만나
55,거짓말이라도 해서 널 보고싶어,백지영,거짓말이라도 해서 널 보고싶어
56,Dance Monkey,Tones And I,The Kids Are Coming
57,딩가딩가 (Dingga),마마무 (Mamamoo),딩가딩가 (Dingga)
